eventtimeutc,base_url,visits
2025-01-21,eu-west-1.console.aws.amazon.com,3
2025-01-21,www.google.com,1
2025-01-22,eu-west-1.console.aws.amazon.com,4
2025-01-22,gitlab.com,38
2025-01-22,mail.google.com,29
2025-01-22,www.facebook.com,10
2025-01-22,www.google.com,1
2025-01-23,accounts.google.com,2
2025-01-23,mail.google.com,7
2025-01-23,pyinsightscom-my.sharepoint.com,18
2025-01-23,pyinsightscom.sharepoint.com,11
2025-01-23,www.facebook.com,15
2025-01-23,www.upwork.com,20
2025-01-24,eu-west-1.console.aws.amazon.com,4
2025-01-24,pyinsightscom-my.sharepoint.com,7
2025-01-24,pyinsightscom.sharepoint.com,18
2025-01-24,www.amazon.in,15
2025-01-24,www.facebook.com,2
2025-01-24,www.google.com,18
2025-01-24,www.upwork.com,19
2025-01-25,mail.google.com,3
2025-01-25,www.facebook.com,2
2025-01-25,www.google.com,56
2025-01-25,www.upwork.com,3
2025-01-26,www.google.com,20
2025-01-26,www.upwork.com,3
2025-01-27,accounts.google.com,3
2025-01-27,mail.google.com,10
2025-01-27,pyinsightscom-my.sharepoint.com,9
2025-01-27,www.google.com,37
2025-01-27,www.upwork.com,79
2025-01-28,pyinsightscom.sharepoint.com,2
2025-01-28,www.google.com,54
2025-01-29,mail.google.com,32
2025-01-29,pyinsightscom-my.sharepoint.com,1
2025-01-29,pyinsightscom.sharepoint.com,45
2025-01-29,www.amazon.in,33
2025-01-29,www.facebook.com,10
2025-01-29,www.google.com,283
2025-01-29,www.upwork.com,82
2025-01-29,www.zipair.net,106
2025-01-30,pyinsightscom-my.sharepoint.com,1
2025-01-30,www.google.com,68
2025-01-30,www.upwork.com,81
2025-01-31,eu-west-1.console.aws.amazon.com,34
2025-01-31,mail.google.com,4
2025-01-31,pyinsightscom.sharepoint.com,4
2025-01-31,www.facebook.com,5
2025-01-31,www.google.com,4
2025-01-31,www.upwork.com,9
2025-02-01,www.google.com,45
2025-02-01,www.upwork.com,3
2025-02-02,www.google.com,19
2025-02-02,www.loopnet.com,20
2025-02-02,www.taskrabbit.com,59
2025-02-02,www.upwork.com,3
2025-02-03,eu-west-1.console.aws.amazon.com,1
2025-02-03,mail.google.com,1
2025-02-03,pyinsightscom-my.sharepoint.com,1
2025-02-03,pyinsightscom.sharepoint.com,12
2025-02-03,www.amazon.in,74
2025-02-03,www.google.com,47
2025-02-03,www.upwork.com,36
2025-02-04,mail.google.com,6
2025-02-04,pyinsightscom.sharepoint.com,9
2025-02-04,www.amazon.in,1
2025-02-04,www.facebook.com,11
2025-02-04,www.google.com,25
2025-02-04,www.upwork.com,65
2025-02-05,www.facebook.com,2
2025-02-05,www.google.com,22
2025-02-05,www.upwork.com,3
2025-02-06,accounts.google.com,2
2025-02-06,mail.google.com,10
2025-02-06,pyinsightscom-my.sharepoint.com,12
2025-02-06,pyinsightscom.sharepoint.com,2
2025-02-06,www.google.com,18
2025-02-06,www.upwork.com,3
2025-02-07,accounts.google.com,11
2025-02-07,www.google.com,4
2025-02-07,www.upwork.com,3
2025-02-08,www.google.com,20
2025-02-09,www.google.com,13
2025-02-10,mail.google.com,3
2025-02-10,pyinsightscom.sharepoint.com,1
2025-02-10,www.google.com,2
2025-02-10,www.upwork.com,3
2025-02-11,eu-west-1.console.aws.amazon.com,10
2025-02-11,pyinsightscom.sharepoint.com,4
2025-02-11,www.facebook.com,10
2025-02-11,www.google.com,1
2025-02-11,www.upwork.com,35
2025-02-12,www.google.com,74
2025-02-12,www.upwork.com,1
2025-02-13,www.upwork.com,3
2025-02-14,gitlab.com,9
2025-02-14,www.google.com,23
2025-02-15,www.google.com,108
2025-02-15,www.upwork.com,3
2025-02-16,accounts.google.com,1
2025-02-16,www.google.com,64
2025-02-16,www.loopnet.com,99
2025-02-16,www.upwork.com,3
2025-02-17,accounts.google.com,2
2025-02-17,gitlab.com,24
2025-02-17,mail.google.com,8
2025-02-17,pyinsightscom.sharepoint.com,1
2025-02-17,wellfound.com,77
2025-02-17,www.google.com,64
2025-02-18,eu-west-1.console.aws.amazon.com,34
2025-02-18,mail.google.com,1
2025-02-18,pyinsightscom.sharepoint.com,23
2025-02-18,wellfound.com,11
2025-02-18,www.google.com,9
2025-02-18,www.loopnet.com,4
2025-02-18,www.upwork.com,3
2025-02-19,accounts.google.com,19
2025-02-19,eu-west-1.console.aws.amazon.com,20
2025-02-19,go.xero.com,60
2025-02-19,mail.google.com,32
2025-02-19,pyinsightscom-my.sharepoint.com,3
2025-02-19,pyinsightscom.sharepoint.com,6
2025-02-19,wellfound.com,19
2025-02-19,www.facebook.com,37
2025-02-19,www.google.com,163
2025-02-19,www.loopnet.com,1
2025-02-19,www.upwork.com,10
2025-02-20,accounts.google.com,21
2025-02-20,eu-west-1.console.aws.amazon.com,18
2025-02-20,mail.google.com,3
2025-02-20,pyinsightscom.sharepoint.com,2
2025-02-20,www.google.com,64
2025-02-20,www.loopnet.com,8
2025-02-21,www.google.com,1
2025-02-21,www.loopnet.com,1
