Cluster,Titles,category,length
0,['Clutter | Moving & Storage'],"Other
",1
1,"['British Gas', 'Shopping Cart | Tractor Supply Co.', 'Delivery-Pickup Details | Tractor Supply Co.', 'Carpet knife at Tractor Supply Co.', 'Acquire &#44;  the #1 Startup Acquisition Marketplace', 'Canon : PIXMA Manuals : TS5000 series : 5100', 'Moving Truck Rentals - The Home Depot', 'F250 Flatbed Truck Rental F250 - The Home Depot', 'Cart : Target', 'Kids Workshops: Activities & Crafts - The Home Depot', 'DIY Workshops | The Home Depot', 'Goodwill San Francisco Bay', 'Welcome to Costco Wholesale', 'Shopping Cart\xa0| Costco', 'Orders & Purchases | Costco', '| Costco', 'Grocery & Household Essentials \xa0| Costco', 'Products']","Other
",18
2,"['Valentine &#39; s Day Gifts for Dogs & Cats | Petco', 'Travel in Luxury with Luux Bags: Explore Our Premium Collection Now – LUUX BAGS', 'Mystery Picnic Experience | AmazingCo', 'Best Personalized Gifts For Pet Owners & Lovers | Mark and Graham', 'Virgin Experience Gifts: Experience Gifts & Ideas USA', 'Experience Gifts for Men - Virgin Experience Gifts', 'Experience Gifts For Couples - Virgin Experience Gifts', 'Hot Air Balloon Rides - Virgin Experience Gifts', 'Los Angeles Experience Gifts & Things To Do - Virgin Experience Gifts', 'Dog Friendly Experience Gifts Near Me: Paws and Relax | Giftory', 'Animal Experiences & Gifts Los Angeles - Virgin Experience Gifts', 'Family Gift Experience Ideas: Indoor Skydiving - Paraclete XP Indoor Skydiving']","Other
",12
3,"['Murphy Beds — Sacramento Furniture Store', 'Dribbleup | Smart Basketball', 'Best Whiteboard Paint and Dry Erase Paint for Quality Whiteboard walls', 'The YouLift Bed: Affordable &#44;  Mechanism-Free Murphy Bed', 'Boys Briefs : Target', 'Boys &#39;  7pk Space Boxer Briefs - Cat & Jack™ Blue/white M : Target', 'Hanes Boys &#39;  5pk X-temp Boxer Briefs - Black M : Target', 'Sectional Sleeper Sofas - Corner Sofa Beds - IKEA', 'FRIHETEN sleeper sectional &#44; 3 seat w/storage &#44;  Skiftebo dark gray - IKEA', 'Altari Queen Sofa Sleeper | Ashley', 'Queen Sofa Sleepers | Wayfair', 'Serta Gabi 90.2 &#34;  Upholstered Queen Size Convertible Sleeper Sofa & Reviews | Wayfair', 'Latitude Run® 83.87 &#34;  Sleeper Sofa With Dual Mattress & Reviews | Wayfair', 'Mercury Row® Perdue 81.5 &#34;  Velvet Square Arm Convertible Sofa & Reviews | Wayfair', 'Joss & Main Bobbi 86.61 &#39;  &#39;  Upholstered Sofa & Reviews | Wayfair', 'Sand & Stable Seylow 81.5 &#39;  &#39;  Faux Leather Convertible Sofa & Reviews | Wayfair', 'JLA Home Skye 4-Pc. Comforter Sets - Macy &#39; s', 'Amazon.com: ZonLi Japanese Floor Mattress Futon Mattress Queen Size &#44;  Thicken Roll Up Tatami Mat w/ 100% Cotton Washable Cover &#44;  Portable & Foldable Floor Bed Mattress for Sleeping &#44;  Dormitory &#44;  Adult Kids &#44;  Coffee : Home & Kitchen']","Home & Kitchen
",18
4,"['1 inch Horse Stall Tiles - Equine Floor Mats', 'Thick Rubber Stall Mat &#44;  4 ft. x 6 ft. at Tractor Supply Co.', 'Stall mat at Tractor Supply Co.', 'Horse Stall Mats at Tractor Supply Co.', '4 ft. x 6 ft. x 3/4 in. Black Stall Mat MATT1006 - The Home Depot', 'Rubber-Cal Shark Tooth 3/4 in. T x 4 ft. W x 6 ft. L Black Heavy Duty Rubber Flooring Mat 03_109_W_46 - The Home Depot', 'Stall Savers', 'Horse Stall Mats | Rubber Horse Stall Flooring', 'Thick Rubber Stall Mat &#44;  4 ft. x 6 ft. at Tractor Supply Co', 'Rubber stall mats at Tractor Supply Co.', 'Utility Rubber Stall Mat &#44;  3 ft. x 4 ft. &#44;  Black at Tractor Supply Co', 'Husky 16 ft. 1.25 in. Ratchet Tie-Down Straps with S-Hook (4-Pack) FH0836E - The Home Depot', 'Amazon.com : Bike Mat Exercise Bike Mat &#44; Treadmill Mat for Carpet & Hardwood Floors &#44; Mats for Gym Equipment &#44; Indoor Exercise Equipment Mat &#44; Exercise Mat &#44; Fitness Mat &#44; Stationary Bike Mat (Black &#44;  23.6 &#34;  × 47.3 &#34; ) : Sports & Outdoors', 'T-2 Series Power Rack – Titan Fitness', 'Shark Tooth 3/4 in. T x 3 ft. W x 4 ft. L Black Heavy Duty Rubber Flooring Mat']","Home & Kitchen
",15
5,"['Amazon.in : jungle leaf fondant butter', 'Amazon.in: Jungle Leaf Fondant Cutter', 'Amazon.in : jungle decor', 'Amazon.in : artificial leaves string', 'Buy Yatim Bs Amor Artificial Garland Money Plant Leaf Creeper Greenery Bail | Length 6 Feet | Pack Of 12 Strings Online at Low Prices in India - Amazon.in', 'Buy BS AMOR Artificial Creeper Money Plant Leaf Garland | Wall Hanging | Speacial Ocassion Decoration | Home Decor Party | Office Festival Theme Decorative Length 6 Feet Pack Strings (4) Online at Low Prices in India - Amazon.in', 'Buy SAI PRASEEDA Wall Hanging Artificial Creeper Plant Strings with Leaves_Set of 6_Green Color_for Interior Decoration_Art_Craft SPLFSG2 Online at Low Prices in India - Amazon.in', 'Amazon.in : artificial leaves string green', 'Buy Optima Traders Artificial Money Plant Creepers with Green Leaves for Wall Hangings Room Decor & Aesthetic Home Interior Decoration (3 Strings &#44;  7 Ft) Online at Low Prices in India - Amazon.in', 'Amazon.in : green table cloth', 'Buy AIRWILL 100% Cotton Checkered Pattern 6 Seater Rectangle Table Cover Sized &#44;  56X71 Inches (Green &#44;  Pack of 1) - Rectangular Online at Low Prices in India - Amazon.in', 'Amazon.in : table cloth 6 seater green colour', 'Buy Yindella PVC Dining Tablecloth Cover Waterproof Oil-Resistant Rectangular Kitchen Table Cloth with Clear Flower Printing Texture for 4 to 6 Seater (Flower-Green &#44;  140×180cm (55.1×70.9 inch) Online at Low Prices in India - Amazon.in', 'Amazon.in : table cloth 6 seater dark green colour', 'Pitch59', 'Cases.gg: The Best Mystery Box Site', 'Amazon.com : Fruit of the Earth Aloe Vera 100% Gel &#44;  12 oz (Pack of 2) : Beauty & Personal Care', 'Fine Stone Granules By Ashland™ | Michaels', 'Stone Granules By Ashland™ | Michaels', 'Rotimatic Plus - Hot &#44;  Fresh & Puffed Rotis in Just 90 Seconds', 'Yakult Non-Fat Live &Active Probiotic Drink Family Pack &#44;  2.7 fl oz &#44;  20 Count  &#44; No Gluten &#44;  Plastic Bottle - Walmart.com', 'Yakult Nonfat Probiotic Yogurt Drink - 5ct/2.7 Fl Oz Bottles : Target', 'Ivory Hills Japan Real or Fake | Video Check', '8 Trendy Wolf Haircut Ideas That You Should Know About! - Greg Decker']","Home & Kitchen
",24
6,"['Buy RKPM HOMES 4 Pieces Tropical Leaf Cookie Cutter Shape Set &#44; Hawaiian Palm Leaves Mould Fondant Cutting Stainless Steel Cutters for Pastry Fruit Biscuit Sugarcraft Candy Cake Decorating &#44;  Baking Tools Online at Low Prices in India - Amazon.in', 'Buy Zollyss Flower Fondant Cake Sugarcraft Decorating Kit Combos (Cookie Cutter) Set of 33 Online at Low Prices in India - Amazon.in', 'UK PostBox', 'UK Postbox', 'Amazon.in : sparkler candles for cake', 'Buy AMFIN (Pack of 6) Happy Birthday Spiral Candle with Holder for Cake - Multi Online at Low Prices in India - Amazon.in', 'Custom Cakes from Dairy Queen® - Build One Now!', 'Order a DQ® Cake at a Store Near You!', '52675.png (1200×11200)', 'UK Postbox - The UK &#39; s Online Post Office', 'Central Japan &#39; s Top 7 Cherry Blossoms Spots in 2025 | Centrip JAPAN', '51868.png (1200×9600)']","Home & Kitchen
",12
7,"['We’re Behaviorally. Guided with Decision Precision.', 'avianca - Select Flights', 'AutoRentals.com - Book Cheap and Discount Car Rentals at Airport and City.', 'AutoRentals.com | Guaranteed Lowest Rate with Live Pricing for Livermore &#44;  CA', 'Rooms.aero - Free Hotel Award Search', 'Rooms.aero - Search', 'app.acquire.com/signin?route=/notification-settings', 'Review Details And Pay | AirAsia', 'Payment Authentication', 'Security Protection Center', 'Way.com Coupons &#44;  Promo Codes February 2025 - $18 Average Savings', 'Way.com Special Offer - 70% Off on Airport Parking - SelectAware.com', 'Way.com Coupon - 10% Off Parking Coupon - SelectAware.com', 'Way.com Coupon - Extra $10 Off Coupon - SelectAware.com', 'Way.com Coupon - 20% Off Coupon - SelectAware.com', 'Redirection Page', 'Online Booking', 'Sign In or Create An Account | Michaels', 'Online Return Center', 'Logging in...', '247 Home Rescue - My Account']","Other
",21
8,"['Prime Video | Watch movies &#44;  TV shows &#44;  Live TV &#44;  and sports', 'Prime Video: Who &#39; s watching?', 'mueller.viomedspa-specials.com/hydrafacial?utm_source=adwords&utm_medium=Best Hydrafacial Austin&utm_campaign=DTMA | $159 Hydrafacial&utm_content=$159 Hydrafacial&utm_keyword=hydrafacial austin&utm_matchtype=p&campaign_id=21438065032&ad_group_id=164628233976&ad_id=704673400733&gad_source=1&gclid=CjwKCAiAtYy9BhBcEiwANWQQL4ezZ0fLcSjPCFaNXQadUWYnttvB48wfvjZc9d0aZTm7kV2E6LjlBBoCBTYQAvD_BwE', 'Watch Stargate SG-1 (Season 3) | Prime Video']","Other
",4
9,"['California Pizza Kitchen - Quickpay', 'Persistent Chipolo notification – Chipolo - Support', 'Zucchini Kill Bakery | Zucchini Kill', 'Dairy Queen®: Burgers &#44;  Blizzard® Treats & More. Happy Tastes Good®', 'Dairy Queen® Full Menu - Burgers &#44;  Blizzard Treats &#44;  Cakes & More!', 'Dairy Queen® Nutrition Facts: Allergens &#44;  Calories &#44;  Carbs & More', 'Dairy Queen® Treat Allergen & Nutrition Facts', 'Sherbet Ice Cream : Target', 'beyond burger | Costco', 'beyond meat | Costco', 'Beyond Burger | Vegan Burger Patties | Beyond Meat', 'Amazon.com: Beyond Meat &#44;  Plant-Based Patties &#44;  8 Ounce : Grocery & Gourmet Food', 'Amazon.com : Beyond Meat', 'Beyond Meat Plant-Based Burger Patties &#44;  Frozen (10 ct.) - Sam &#39; s Club', 'BEYOND MEAT PLANT BASED BURGER PATTIES - US Foods CHEF &#39; STORE', 'Beyond Meat Beyond Burger Plant Based Patties Delivery Near Me | Order Online | Uber Eats', 'Beyond Meat Beyond Burger &#44;  Plant-Based Patties &#44;  39.8 oz &#44;  10 Count - 1', 'Diary Study Example Consumer & Shopper Insights — Indeemo']","Food & Beverage
",18
